movie,scene_number,scene_name,type,character,text
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,The little lambs in springtime.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Oh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Ahh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"The lambs, eh? Now you're talking. They're lovely, eh?
        I love them."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"Oh, so do I, Morris. I love them more than
        anything. Little white furry bundles."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Mhmm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"I think, of all God's creatures, sheep have the best
        offspring."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"Oh, yes. Terrific animals."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Mm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Terrific.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Yeah. They're so sure-footed.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Hm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,And quick-witted.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Are they quick-witted?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Yeah. Yeah. Oh, yeah, they're quite, uh, quick-witted."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Mhm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Always cheerful. Hmm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Well, except at shearing. Hehhehheh."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Why are you always on about shearing?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"I'm not always on about it, Morris."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"You are a great deflator, you are."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,He was--
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Of all the moments in their little lives, you
        unerringly put your finger on the one moment where they lose a little
        bit of dignity. Well, I regard that as cheap, quite honestly."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"Oh, look! Look. One of them's looking up at us.
        Heh. He knows we're talkin' about him. sniff"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"Morris, don't get me wrong. I actually like their
        behavior at shearing. I actually like them when they get a little bit
        cross. I find that endearing."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"That's the fantastic thing. They're beautiful to look
        at, well-disposed, quite quick-witted, and yet, tough as nails."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,sniff
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,sniff
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"You know, I can't think of anything I'd rather do
        than watch sheep."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Mmm.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"The only other animals that I would be remotely
        interested in watching would be cats."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,They don't have flocks of cats.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,"No, I-- I'm not saying they do, Morris."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Can you imagine a herds of cats waiting to be sheared?
        Meow! Meow! Woo hoo hoo."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Shh! Shh. I heard something over there.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Wolves?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Could be.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Where?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,Over there.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Right.
Life of Brian,1,The Relationship of Men and Sheep,direction,NULL,thump thump
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,Oowhh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,That's not a wolf.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,S-- Gordon Bennett!
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,ungh What did you do that for!?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,I thought he was a wolf.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,You hit him right in the face!
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"Well, he shouldn't come snooping 'round like that."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,"You wait till you hear what we've just seen! The
        most incredible things just happened!"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,Don't tell 'em. Owhh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,"We were on the hillside over there when this
        amazing-"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,Don't tell them! They broke my bloody nose!
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,Can't I tell them about the amazing th--
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,No! Oohh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,"Well, they said we were to tell everybody!"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,Not people who break your bloody nose! Come on.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Where are you going?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #3,Bethlehem.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #4,Nowhere! Good night. Uhh.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,"That's right! Leave your sheep! Leave them to the
        wolves! Call yourselves shepherds?! You're a disgrace to the profession!"
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"Huh. What a rotten thing to do,..."
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Yeah.
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #2,"...to go and leave those little helpless furry
        bundles alone on the hillside."
Life of Brian,1,The Relationship of Men and Sheep,direction,NULL,holy music fades in
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,So they can go down to Bethlehem and get drunk.
Life of Brian,1,The Relationship of Men and Sheep,direction,NULL,pause
Life of Brian,1,The Relationship of Men and Sheep,dialogue,SHEPHERD #1,Is it A.D. yet?
Life of Brian,1,The Relationship of Men and Sheep,dialogue,MORRIS,Quarter past.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,holy music
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,BABY BRIAN COHEN,crying
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,Ahem.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY COHEN,Ohhh!
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,whump
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,We are three wise men.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,What?!
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,We are three wise men.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Well, what are you doing creeping around a cow shed at
        two o'clock in the morning? That doesn't sound very wise to me."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #3,We are astrologers.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,We have come from the East.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,Is this some kind of joke?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,We wish to praise the infant.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,We must pay homage to him.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Homage? You're all drunk. It's disgusting. Out! The
        lot, out!"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,No--
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Bursting in here with tales about oriental fortune
        tellers. Come on. Out!"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,"No, no. We must see him."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,Go and praise someone else's brat! Go on!
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,We--
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,We were led by a star.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Or led by a bottle, more like. Go on. Out!"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,"Well-- well, we must see him. We have brought
        presents."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,Out!
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,Gold. Frankincense. Myrrh.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Well, why didn't you say? He's over there. Sorry the
        place is a bit of a mess. Well, what is myrrh, anyway?"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #3,It is a valuable balm.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"A balm? What are you giving him a balm for? It might
        bite him."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #3,What?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"That's a dangerous animal. Quick! Throw it in the
        trough."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,"No, it isn't."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Yes, it is. It's great, big mmm..."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #3,"No, no, no. It is an ointment."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Aww, there is an animal called a balm,... or did I
        dream it? So, you're astrologers, are you? Well, what is he then?"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,Hmm?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,What star sign is he?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,"Uh, Capricorn."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Uhh, Capricorn, eh? What are they like?"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,"Ooh, but... he is the son of God, our Messiah."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,King of the Jews.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"And that's Capricorn, is it?"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,"Uh, no, no, no. That's just him."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Ohh, I was going to say, 'Otherwise, there'd be a lot
        of them.' sniff"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #1,By what name are you calling him?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Uh, 'Brian'."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MEN,"We worship you, O Brian, who are Lord over us all.
        Praise unto you, Brian, and to the Lord, our Father. Amen."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Do you do a lot of this, then?"
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,What?
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,This praising.
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,WISE MAN #2,"No, no. No, no."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,"Er, well, um, if you're dropping by again, do pop in.
        Heh. And thanks a lot for the gold and frankincense, er, but don't worry
        too much about the myrrh next time. All right? Heh. Thank you! Good-bye!
        Well, weren't they nice? Hmm. Out of their bloody minds, but still."
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,WISE MEN leave
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,WISE MEN return and grab presents
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,whump
Life of Brian,2,Three Wise Men with Bad Senses of Direction,direction,NULL,holy music
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,BABY BRIAN,crying
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,MANDY,Shut up. smack
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,Cartoon,
Life of Brian,2,Three Wise Men with Bad Senses of Direction,dialogue,SINGER,"Brian. The babe they called 'Brian', He grew,... grew,
        grew, and grew-- Grew up to be-- grew up to be A boy called 'Brian'-- A
        boy called 'Brian'. He had arms... and legs... and hands... and feet,
        This boy... whose name was 'Brian', And he grew,... grew, grew, and
        grew-- Grew up to be-- Yes, he grew up to be A teenager called 'Brian'--
        A teenager called 'Brian', And his face became spotty. Yes, his face
        became spotty, And his voice dropped down low And things started to grow
        On young Brian and show He was certainly no-- No girl named 'Brian', Not
        a girl named 'Brian'. And he started to shave And have one off the wrist
        And want to see girls And go out and get pissed, A man called 'Brian'--
        This man called 'Brian'-- The man they called 'Brian'-- This man called
        'Brian'! crash Ahh!"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,direction,NULL,music
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS CHRIST,"How blest are those who know their need of God.
        How blest are the sorrowful. They shall find consolation. How blest are
        those of gentle spirit. They shall have the earth for their possession.
        How blest are those who hunger and thirst to see right prevail."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,RANDOM,cough cough
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,"They shall be satisfied. How blest are those whose
        hearts are pure. They shall see God..."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,Speak up!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MAN,Shh.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,BRIAN,"Quiet, Mum."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,How blest are those of gentle...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,"Well, I can't hear a thing."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,"...spirit. They shall have the earth for their
        possession."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,Let's go t' the stoning.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,How blest are those...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Shh.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...who hunger and thirst...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,BRIAN,You can go to a stoning any time.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...to see right...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,"Oh, come on, Brian."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...prevail.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Will you be quiet?!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,How blest are they who have suffered much...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,Don't pick your nose.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,I wasn't picking my nose. I was scratching.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,"You was picking it, while you was talking to
        that lady."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,I wasn't!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,Leave it alone. Give it a rest.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,Do you mind? I can't hear a word he's saying.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,"Don't you 'do you mind' me. I was talking to my
        husband."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Well, go and talk to him somewhere else. I can't
        hear a bloody thing."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Don't you swear at my wife.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"I was only asking her to shut up, so I can hear
        what he's saying, Big Nose."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,Don't you call my husband 'Big Nose'!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Well, he has got a big nose."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,"Could you be quiet, please?"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,They shall have the earth...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,What was that?
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...for their possession. How blest are those...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,I don't know. I was too busy talking to Big Nose.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...who hunger and thirst to see...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MAN #1,I think it was 'Blessed are the cheesemakers.'
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...right prevail.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. GREGORY,"Ahh, what's so special about the cheesemakers?"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,"Well, obviously, this is not meant to be taken
        literally. It refers to any manufacturers of dairy products."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"See? If you hadn't been going on, we'd have heard
        that, Big Nose."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,How blest are those who...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,"Hey. Say that once more; I'll smash your bloody
        face in."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. GREGORY,Ohh.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Better keep listening. Might be a bit about
        'Blessed are the big noses.'"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,BRIAN,"Oh, lay off him."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Oh, you're not so bad yourself, Conkface. Where
        are you two from? Nose City?"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,"One more time, mate; I'll take you to the
        fuckin' cleaners!"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,Language!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...hunger and thirst to see...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,And don't pick your nose.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JESUS,...right prevail.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,"I wasn't going to pick my nose. I was going to
        thump him!"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MAN #2,You hear that? Blessed are the Greek.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,The Greek?
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MAN #2,"Mmm. Well, apparently, he's going to inherit the
        earth."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,Did anyone catch his name?
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,You're not going to thump anybody.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,I'll thump him if he calls me 'Big Nose' again.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Oh, shut up, Big Nose."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,"Ah! All right. I warned you. I really will slug
        you so hard--"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. BIG NOSE,"Oh, it's the meek! Blessed are the meek! Oh,
        that's nice, isn't it? I'm glad they're getting something, 'cause they
        have a hell of a time."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Listen. I'm only telling the truth. You have got a
        very big nose."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,"Hey. Your nose is going to be three foot wide
        across your face by the time I've finished with you!"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MAN #1 and MAN #2,Shhh.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Well, who hit yours, then? Goliath's big brother?"
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Oh. Right. That's your last warning.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. GREGORY,"Oh, do pipe down."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,direction,NULL,MR. BIG NOSE slugs MRS. GREGORY
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,direction,NULL,MR. BIG NOSE and GREGORY fight
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,GREGORY,Oh!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. GREGORY,Awa?
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Silly bitch. Get in the way on me?...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MRS. GREGORY,Ow!...
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. BIG NOSE,Break it up-- oh. Oh!
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,"Oh, come on. Let's go to the stoning."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,BRIAN,All right.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,direction,NULL,music
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,FRANCIS,"Well, blessed is just about everyone with a vested
        interest in the status quo, as far as I can tell, Reg."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,REG,"Yeah. Well, what Jesus blatantly fails to appreciate is
        that it's the meek who are the problem."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,JUDITH,"Yes, yes. Absolutely, Reg. Yes, I see."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MANDY,"Oh, come on, Brian, or they'll have stoned him before
        we get there."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,BRIAN,All right.
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,MR. CHEEKY,"Hey. Get off her. That's disgusting. Stop trying
        to do that. Hey, officer, intervene here. Attempted rape going on. It's
        the chap with the big nose's fault. He started it all."
Life of Brian,3,Jesus' Lack of Crowd Control on the Mount,dialogue,OFFICER,What?
Life of Brian,4,Stonings: How to Find that Perfect Rock,dialogue,MANDY,"Ohh, I hate wearing these beards."
Life of Brian,4,Stonings: How to Find that Perfect Rock,dialogue,BRIAN,"Why aren't women allowed go to stonings, Mum?"
Life of Brian,4,Stonings: How to Find that Perfect Rock,dialogue,MANDY,It's written. That's why.
Life of Brian,4,Stonings: How to Find that Perfect Rock,dialogue,HARRY THE HAGGLER,"Pssst! Beard, madam?"
Life of Brian,4,Stonings: How to Find that Perfect Rock,dialogue,DONKEY OWNER,"Oh, look. I haven't got time to go to no
        stonings. He's not well again."
Life of Brian,4,Stonings: How to Find that Perfect Rock,direction,NULL,hee-haw hee-haw
